Unnamed: 0,budget,genres,id,keywords,original_language,original_title,overview,popularity,production_companies,release_date,revenue,runtime,spoken_languages,tagline,vote_average,vote_count,cast,crew,director,important_feature,weighted_avg
11,200000000,"['adventure', 'action', 'thriller']",10764,"['killing', 'undercover', 'secret agent']",en,Quantum of Solace,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",107.928811,"[{""name"": ""Eon Productions"", ""id"": 7576}]",2008-10-30,586090727,106.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]","For love, for hate, for justice, for revenge.",6.1,2965,"['daniel craig', 'olga kurylenko', 'mathieu amalric']","['paul haggis', 'dennis gassner', 'ian fleming']",Marc Forster,killing undercover secret agent daniel craig olga kurylenko mathieu amalric paul haggis dennis gassner ian fleming Marc Forster adventure action thriller,4.134346340257433
12,200000000,"['adventure', 'fantasy', 'action']",58,"['witch', 'fortune teller', 'bondage']",en,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.847379,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Second Mate Productions"", ""id"": 19936}]",2006-06-20,1065659812,151.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""tr"", ""name"": ""T\u00fcrk\u00e7e""}, {""iso_639_1"": ""el"", ""name"": ""\u03b5\u03bb\u03bb\u03b7\u03bd\u03b9\u03ba\u03ac""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}]",Jack is back!,7.0,5246,"['johnny depp', 'orlando bloom', 'keira knightley']","['dariusz wolski', 'gore verbinski', 'jerry bruckheimer']",Gore Verbinski,witch fortune teller bondage johnny depp orlando bloom keira knightley dariusz wolski gore verbinski jerry bruckheimer Gore Verbinski adventure fantasy action,5.429483239527602
13,255000000,"['action', 'adventure', 'western']",57201,"['texas', 'horse', 'survivor']",en,The Lone Ranger,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",49.046956,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Infinitum Nihil"", ""id"": 2691}, {""name"": ""Silver Bullet Productions (II)"", ""id"": 37380}, {""name"": ""Blind Wink Productions"", ""id"": 37381}, {""name"": ""Classic Media"", ""id"": 37382}]",2013-07-03,89289910,149.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Never Take Off the Mask,5.9,2311,"['johnny depp', 'armie hammer', 'william fichtner']","['gore verbinski', 'gore verbinski', 'jerry bruckheimer']",Gore Verbinski,texas horse survivor johnny depp armie hammer william fichtner gore verbinski gore verbinski jerry bruckheimer Gore Verbinski action adventure western,3.7154657215555744
14,225000000,"['action', 'adventure', 'fantasy']",49521,"['saving the world', 'dc comics', 'superhero']",en,Man of Steel,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",99.398009,"[{""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Syncopy"", ""id"": 9996}, {""name"": ""Cruel and Unusual Films"", ""id"": 78685}]",2013-06-12,662845518,143.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",You will believe that a man can fly.,6.5,6359,"['henry cavill', 'amy adams', 'michael shannon']","['hans zimmer', 'charles roven', 'lloyd phillips']",Zack Snyder,saving the world dc comics superhero henry cavill amy adams michael shannon hans zimmer charles roven lloyd phillips Zack Snyder action adventure fantasy,5.255341489053874
16,220000000,"['science fiction', 'action', 'adventure']",24428,"['new york', 'shield', 'marvel comic']",en,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",144.448633,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Marvel Studios"", ""id"": 420}]",2012-04-25,1519557910,143.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Some assembly required.,7.4,11776,"['robert downey jr.', 'chris evans', 'mark ruffalo']","['alan silvestri', 'christopher boyes', 'christopher boyes']",Joss Whedon,new york shield marvel comic robert downey jr. chris evans mark ruffalo alan silvestri christopher boyes christopher boyes Joss Whedon science fiction action adventure,6.526897295424236
17,380000000,"['adventure', 'action', 'fantasy']",1865,"['sea', 'captain', 'mutiny']",en,Pirates of the Caribbean: On Stranger Tides,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",135.413856,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Moving Picture Company (MPC)"", ""id"": 20478}]",2011-05-14,1045713802,136.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Live Forever Or Die Trying.,6.4,4948,"['johnny depp', 'penélope cruz', 'ian mcshane']","['dariusz wolski', 'jerry bruckheimer', 'ted elliott']",Rob Marshall,sea captain mutiny johnny depp penélope cruz ian mcshane dariusz wolski jerry bruckheimer ted elliott Rob Marshall adventure action fantasy,4.924767112611755
18,225000000,"['action', 'comedy', 'science fiction']",41154,"['time travel', 'time machine', 'alien']",en,Men in Black 3,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",52.035179,"[{""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Media Magik Entertainment"", ""id"": 5627}, {""name"": ""Imagenation Abu Dhabi FZ"", ""id"": 6736}, {""name"": ""Hemisphere Media Capital"", ""id"": 9169}, {""name"": ""Parkes/MacDonald Productions"", ""id"": 11084}]",2012-05-23,624026776,106.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",They are back... in time.,6.2,4160,"['will smith', 'tommy lee jones', 'josh brolin']","['steven spielberg', 'danny elfman', 'ellen chenoweth']",Barry Sonnenfeld,time travel time machine alien will smith tommy lee jones josh brolin steven spielberg danny elfman ellen chenoweth Barry Sonnenfeld action comedy science fiction,4.593534589400883
19,250000000,"['action', 'adventure', 'fantasy']",122917,"['corruption', 'elves', 'dwarves']",en,The Hobbit: The Battle of the Five Armies,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",120.965743,"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Warner Bros. Pictures"", ""id"": 174}, {""name"": ""3Foot7"", ""id"": 7413}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]",2014-12-10,956019788,144.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Witness the defining chapter of the Middle-Earth saga,7.1,4760,"['martin freeman', 'ian mckellen', 'richard armitage']","['howard shore', 'christopher boyes', 'peter jackson']",Peter Jackson,corruption elves dwarves martin freeman ian mckellen richard armitage howard shore christopher boyes peter jackson Peter Jackson action adventure fantasy,5.38609798178912
20,215000000,"['action', 'adventure', 'fantasy']",1930,"['loss of father', 'vigilante', 'serum']",en,The Amazing Spider-Man,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",89.866276,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Laura Ziskin Productions"", ""id"": 326}, {""name"": ""Marvel Entertainment"", ""id"": 7505}]",2012-06-27,752215857,136.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The untold story begins.,6.5,6586,"['andrew garfield', 'emma stone', 'rhys ifans']","['francine maisler', 'john schwartzman', 'pietro scalia']",Marc Webb,loss of father vigilante serum andrew garfield emma stone rhys ifans francine maisler john schwartzman pietro scalia Marc Webb action adventure fantasy,5.2887881687404965
22,250000000,"['adventure', 'fantasy']",57158,"['elves', 'dwarves', 'orcs']",en,The Hobbit: The Desolation of Smaug,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",94.370564,"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Warner Bros. Pictures"", ""id"": 174}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]",2013-12-11,958400000,161.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Beyond darkness... beyond desolation... lies the greatest danger of all.,7.6,4524,"['martin freeman', 'ian mckellen', 'richard armitage']","['howard shore', 'peter jackson', 'peter jackson']",Peter Jackson,elves dwarves orcs martin freeman ian mckellen richard armitage howard shore peter jackson peter jackson Peter Jackson adventure fantasy,5.676998962730366
24,207000000,"['adventure', 'drama', 'action']",254,"['film business', 'screenplay', 'show business']",en,King Kong,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",61.22601,"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Big Primate Pictures"", ""id"": 68}, {""name"": ""MFPV Film"", ""id"": 69}]",2005-12-14,550000000,187.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The eighth wonder of the world.,6.6,2337,"['naomi watts', 'jack black', 'adrien brody']","['james newton howard', 'peter jackson', 'peter jackson']",Peter Jackson,film business screenplay show business naomi watts jack black adrien brody james newton howard peter jackson peter jackson Peter Jackson adventure drama action,4.118642620193044
25,200000000,"['drama', 'romance', 'thriller']",597,"['shipwreck', 'iceberg', 'ship']",en,Titanic,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",100.025899,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Lightstorm Entertainment"", ""id"": 574}]",1997-11-18,1845034188,194.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""sv"", ""name"": ""svenska""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Nothing on Earth could come between them.,7.5,7562,"['kate winslet', 'leonardo dicaprio', 'frances fisher']","['mali finn', 'james horner', 'james cameron']",James Cameron,shipwreck iceberg ship kate winslet leonardo dicaprio frances fisher mali finn james horner james cameron James Cameron drama romance thriller,6.216706196979696
26,250000000,"['adventure', 'action', 'science fiction']",271110,"['civil war', 'war', 'marvel comic']",en,Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",198.372395,"[{""name"": ""Studio Babelsberg"", ""id"": 264}, {""name"": ""Marvel Studios"", ""id"": 420}, {""name"": ""Walt Disney Studios Motion Pictures"", ""id"": 3036}, {""name"": ""Vita-Ray Dutch Productions (III)"", ""id"": 84424}, {""name"": ""Deluxe Digital Studios"", ""id"": 84425}]",2016-04-27,1153304495,147.0,"[{""iso_639_1"": ""ro"", ""name"": ""Rom\u00e2n\u0103""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Divided We Fall,7.1,7241,"['chris evans', 'robert downey jr.', 'scarlett johansson']","['ronald r. reiss', 'tom johnson', 'sarah finn']",Anthony Russo,civil war war marvel comic chris evans robert downey jr. scarlett johansson ronald r. reiss tom johnson sarah finn Anthony Russo adventure action science fiction,5.853248503319835
27,209000000,"['thriller', 'action', 'adventure']",44833,"['fight', 'u.s. navy', 'mind reading']",en,Battleship,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",64.928382,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Hasbro"", ""id"": 2598}, {""name"": ""Bluegrass Films"", ""id"": 13778}, {""name"": ""Film 44"", ""id"": 20153}]",2012-04-11,303025485,131.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""th"", ""name"": ""\u0e20\u0e32\u0e29\u0e32\u0e44\u0e17\u0e22""}]",The Battle for Earth Begins at Sea,5.5,2114,"['taylor kitsch', 'alexander skarsgård', 'rihanna']","['paul rubell', 'jeff dawn', 'duncan henderson']",Peter Berg,fight u.s. navy mind reading taylor kitsch alexander skarsgård rihanna paul rubell jeff dawn duncan henderson Peter Berg thriller action adventure,3.3945034906219442
28,150000000,"['action', 'adventure', 'science fiction']",135397,"['monster', 'dna', 'tyrannosaurus rex']",en,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",418.708552,"[{""name"": ""Universal Studios"", ""id"": 13}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Fuji Television Network"", ""id"": 3341}, {""name"": ""Dentsu"", ""id"": 6452}]",2015-06-09,1513528810,124.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The park is open.,6.5,8662,"['chris pratt', 'bryce dallas howard', 'irrfan khan']","['steven spielberg', 'john papsidera', 'frank marshall']",Colin Trevorrow,monster dna tyrannosaurus rex chris pratt bryce dallas howard irrfan khan steven spielberg john papsidera frank marshall Colin Trevorrow action adventure science fiction,5.527729552864899
29,200000000,"['action', 'adventure', 'thriller']",37724,"['spy', 'secret agent', 'sociopath']",en,Skyfall,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",93.004993,"[{""name"": ""Columbia Pictures"", ""id"": 5}]",2012-10-25,1108561013,143.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Think on your sins.,6.9,7604,"['daniel craig', 'judi dench', 'javier bardem']","['thomas newman', 'sam mendes', 'anna pinnock']",Sam Mendes,spy secret agent sociopath daniel craig judi dench javier bardem thomas newman sam mendes anna pinnock Sam Mendes action adventure thriller,5.7403922894561745
